ticker-view,name,description,exchange,close,type,typespecs,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,AnalystRating,AnalystRating.tr,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,TechRating_1D,TechRating_1D.tr,MARating_1D,MARating_1D.tr,OsRating_1D,OsRating_1D.tr,RSI,Mom,AO,CCI20,Stoch.K,Stoch.D,candlestick_patterns_1D,premarket_close,premarket_change,premarket_gap,premarket_volume,gap,volume,volume_change,postmarket_close,postmarket_change,postmarket_volume,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm,SMA10,SMA30,SMA50,SMA100,SMA200
[object Object],NVDA,NVIDIA Corporation,NASDAQ,207.48,stock,common,100.00,1.00,false,0.00,USD,-0.61,24102810.00,0.20,5021015867880.08,USD,31.77,6.53,110.33,0.13,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,-0.61,2.39,3.68,3.76,10.66,9.29,20.32,974.41,14989.45,474137.83,2.68,3.48,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,51.67,-3.48,3.60,57.99,78.68,76.42,doji,207.44,-0.63,-0.56,642823.00,-0.63,24102810.00,-78.19,0.00,0.00,0.00,16.67,31.77,0.29,20.09,25.71,40.28,42.50,62.81,4953257867880.08,19.54,30.52,29.93,207.69,203.86,209.20,199.73,192.91
[object Object],AAPL,Apple Inc.,NASDAQ,329.50,stock,common,100.00,1.00,false,0.00,USD,2.44,10208552.00,0.21,4839469316471.61,USD,39.86,8.27,29.00,0.33,Electronic technology,america,Electronic Technology,Buy,Buy,2.44,-0.75,11.56,20.80,33.23,21.03,54.04,122.23,1241.47,256623.13,2.18,2.81,StrongBuy,Strong buy,StrongBuy,Strong buy,Buy,Buy,63.30,14.18,19.44,75.85,70.23,74.65,marubozu_white_bullish,321.60,-0.02,-0.18,129803.00,0.04,10208552.00,-75.00,0.00,0.00,0.00,56.41,39.86,1.34,10.49,45.38,34.60,37.56,70.83,4855673316471.61,10.76,32.95,30.35,325.80,307.34,306.16,285.07,275.96
[object Object],GOOGL,Alphabet Inc. Class A,NASDAQ,317.69,stock,common,100.00,1.00,false,0.00,USD,0.00,9906751.00,0.32,3871043560207.08,USD,15.96,19.91,112.04,0.27,Technology services,america,Technology Services,StrongBuy,Strong buy,0.00,-8.18,-8.98,-6.21,-4.45,0.25,61.24,138.28,738.60,12594.22,2.29,2.94,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,31.02,-39.49,-16.81,-216.90,3.80,9.54,long_upper_shadow_bearish,318.19,0.16,0.50,592627.00,0.23,9906751.00,-85.73,0.00,0.00,0.00,88.04,15.96,0.14,8.76,6.24,21.06,73.41,16.13,3761800006207.08,8.43,24.82,21.25,346.08,353.95,364.66,345.77,323.89
[object Object],GOOG,Alphabet Inc. Class C,NASDAQ,317.67,stock,common,100.00,1.00,false,0.00,USD,-0.21,6914484.00,0.35,3862835503161.02,USD,15.96,19.91,112.04,0.27,Technology services,america,Technology Services,StrongBuy,Strong buy,-0.21,-8.13,-8.90,-5.94,-4.50,0.03,60.35,129.78,758.15,1021.58,2.29,2.82,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,32.04,-37.36,-15.43,-223.29,4.28,9.41,long_upper_shadow_bearish,318.30,-0.01,0.30,330612.00,-0.01,6914484.00,-85.21,0.00,0.00,0.00,88.04,15.96,0.14,8.78,6.24,21.06,73.40,16.13,3753591949161.02,8.41,24.76,21.21,345.36,352.34,362.32,343.74,323.16
[object Object],MSFT,Microsoft Corporation,NASDAQ,383.15,stock,common,100.00,1.00,false,0.00,USD,0.41,8610898.00,0.29,2846204605457.99,USD,22.82,16.79,29.75,0.93,Technology services,america,Technology Services,StrongBuy,Strong buy,0.41,-2.96,3.12,-8.11,-15.21,-20.90,-24.69,32.58,578.50,393993.99,2.88,3.10,Sell,Sell,StrongSell,Strong sell,Buy,Buy,45.63,-1.95,4.47,-19.50,35.76,52.95,0.00,387.08,1.44,0.62,183686.00,1.43,8610898.00,-71.63,0.00,0.00,0.00,-22.83,22.82,0.76,8.93,6.87,16.77,39.12,36.44,2893364605457.99,9.09,19.42,15.02,392.16,384.39,399.21,398.97,436.13
[object Object],AMZN,"Amazon.com, Inc.",NASDAQ,231.99,stock,common,100.00,1.00,false,0.00,USD,-0.72,9299091.00,0.25,2495488057470.48,USD,27.72,8.37,36.48,0.00,Retail trade,america,Retail Trade,StrongBuy,Strong buy,-0.72,-5.10,-0.80,-10.77,-1.26,0.28,1.23,26.31,521.49,190248.23,1.96,2.87,StrongSell,Strong sell,StrongSell,Strong sell,Neutral,Neutral,37.41,-13.35,-0.21,-162.72,13.65,31.99,0.00,234.59,0.40,0.36,155994.00,0.31,9299091.00,-80.41,0.00,0.00,0.00,10.78,27.72,0.77,3.42,5.65,16.98,0.00,17.28,2576371057470.48,3.47,28.56,16.04,245.49,241.96,249.22,241.39,234.59
[object Object],TSM,"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",NYSE,403.36,dr,0.00,100.00,1.00,false,0.00,USD,-2.94,2678503.00,0.18,1927338148544.32,USD,29.11,13.86,57.78,0.66,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,-2.94,2.87,-7.06,1.82,21.47,29.29,67.92,248.35,1367.28,7630.41,2.52,3.90,Sell,Sell,Sell,Sell,Sell,Sell,42.38,-30.75,-17.63,-103.25,38.23,39.89,0.00,411.11,-1.08,-0.50,99020.00,-1.02,2678503.00,-75.76,0.00,0.00,0.00,80.90,29.11,0.52,15.09,0.00,23.71,52.43,18.94,1849061721441.53,12.95,23.18,18.14,413.66,431.96,426.07,395.26,354.83
[object Object],AVGO,Broadcom Inc.,NASDAQ,380.83,stock,common,100.00,1.00,false,0.00,USD,-2.97,2839623.00,0.15,1811829226787.39,USD,63.40,6.01,125.81,0.65,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,-2.97,4.04,-1.50,-10.39,19.27,7.95,31.42,689.84,2285.55,22980.61,3.02,3.57,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,47.45,-19.14,1.51,14.36,65.03,64.79,0.00,387.68,-1.22,-0.79,45351.00,-1.22,2839623.00,-82.63,0.00,0.00,0.00,32.38,63.40,0.52,25.36,20.66,55.23,56.68,94.61,1857108226787.39,24.61,55.75,44.15,384.75,383.42,399.33,381.19,364.92
[object Object],META,Meta Platforms Inc Class A,NASDAQ,604.97,stock,common,100.00,1.00,false,0.00,USD,-0.19,2504694.00,0.14,1535669776772.99,USD,21.99,27.51,7.29,0.35,Technology services,america,Technology Services,StrongBuy,Strong buy,-0.19,-6.60,7.67,-8.38,-6.17,-8.71,-15.63,63.69,398.37,1338.69,2.55,3.73,Sell,Sell,StrongSell,Strong sell,Sell,Sell,46.03,-64.24,25.46,-34.96,32.73,45.48,doji,605.40,-0.12,0.31,94853.00,-0.13,2504694.00,-83.84,0.00,0.00,0.00,-7.39,21.99,3.02,7.23,6.30,12.51,32.15,19.03,1540918776772.99,7.17,17.39,14.10,643.75,604.32,606.27,615.41,638.12
[object Object],SPCX,Space Exploration Technologies Corp,NASDAQ,111.85,stock,common,100.00,1.00,false,0.00,USD,-5.40,17807169.00,0.27,1483926734614.09,USD,0.00,0.00,0.00,0.00,Communications,america,Communications,Buy,Buy,-5.40,-12.23,-27.46,-25.43,-25.43,-25.43,-25.43,-25.43,-25.43,-25.43,6.60,9.29,Sell,Sell,StrongSell,Strong sell,Buy,Buy,33.38,-33.45,0.00,-126.49,5.05,4.84,0.00,115.97,-1.92,-1.56,1027940.00,-1.89,17807169.00,-76.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,42.35,0.00,0.00,61.60,1497836734614.09,0.00,0.00,0.00,125.43,0.00,0.00,0.00,0.00
