ticker-view,name,description,exchange,close,type,typespecs,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,AnalystRating,AnalystRating.tr,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,TechRating_1D,TechRating_1D.tr,MARating_1D,MARating_1D.tr,OsRating_1D,OsRating_1D.tr,RSI,Mom,AO,CCI20,Stoch.K,Stoch.D,candlestick_patterns_1D,premarket_close,premarket_change,premarket_gap,premarket_volume,gap,volume,volume_change,postmarket_close,postmarket_change,postmarket_volume,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm,SMA10,SMA30,SMA50,SMA100,SMA200,price_target_average,price_target_high,price_target_low,price_target_median,earnings_per_share_forecast_next_fy,earnings_per_share_forecast_fq,earnings_per_share_forecast_next_fq,revenue_forecast_next_fy,revenue_forecast_fq,revenue_forecast_next_fq
[object Object],NVDA,NVIDIA Corporation,NASDAQ,225.51,stock,common,100.00,1.00,false,0.00,USD,-1.47,89283167.00,0.82,5434790884051.58,USD,28.51,7.91,125.15,0.12,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,-1.47,5.31,4.63,12.71,32.65,18.79,23.93,918.56,13726.49,515349.07,2.06,2.45,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,55.72,1.84,2.82,63.69,70.94,64.05,0.00,228.06,-0.35,-0.05,1251298.00,-0.37,89283167.00,-6.75,225.10,-0.18,14494472.00,24.78,28.51,0.23,18.35,23.78,40.76,43.12,55.11,5374281884051.58,17.74,27.20,26.70,219.71,220.43,215.38,212.36,199.06,333.47,710.29,180.00,318.20,9.26,2.09,2.47,408940119887.00,92270936574.00,108704835183.00
[object Object],AAPL,Apple Inc.,NASDAQ,337.02,stock,common,100.00,1.00,false,0.00,USD,-0.80,31574762.00,0.64,4918530438281.13,USD,38.63,8.72,32.61,0.31,Electronic technology,america,Electronic Technology,Buy,Buy,-0.80,1.35,8.20,17.27,32.74,23.79,31.71,129.81,1078.91,262482.98,2.01,2.19,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,62.90,21.68,18.12,98.80,86.18,90.79,0.00,341.19,0.42,0.22,644092.00,0.39,31574762.00,-22.44,337.04,0.01,6386045.00,34.64,38.63,1.19,10.71,45.79,33.80,36.28,79.47,4940475438281.13,10.58,31.90,29.41,334.45,320.86,321.51,310.54,287.16,337.68,405.00,245.00,342.83,8.83,1.89,1.98,477450877308.00,109038899874.00,113210569717.00
[object Object],GOOG,Alphabet Inc. Class C,NASDAQ,334.98,stock,common,100.00,1.00,false,0.00,USD,-3.58,23164125.00,1.23,4121042342022.64,USD,16.83,19.91,112.02,0.24,Technology services,america,Technology Services,StrongBuy,Strong buy,-3.58,-2.44,-1.69,-0.58,20.76,5.48,32.06,136.55,758.92,1082.69,3.02,2.05,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,44.94,6.60,5.21,-5.83,58.73,69.41,0.00,345.78,-0.47,0.37,183949.00,-0.32,23164125.00,14.87,335.90,0.27,3962468.00,37.70,16.83,0.16,9.58,6.58,22.21,77.40,17.00,4013939788022.64,8.99,26.48,22.63,341.37,339.83,342.88,356.20,336.57,426.25,515.00,340.00,425.00,20.60,2.88,3.03,497681481233.00,116353870857.00,126846545896.00
[object Object],GOOGL,Alphabet Inc. Class A,NASDAQ,337.83,stock,common,100.00,1.00,false,0.00,USD,-3.80,35441195.00,1.24,4111721459554.70,USD,16.97,19.91,112.02,0.24,Technology services,america,Technology Services,StrongBuy,Strong buy,-3.80,-2.67,-1.68,0.33,21.84,6.60,33.51,139.62,734.15,13398.76,2.99,2.07,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,45.06,7.18,6.29,-7.32,59.29,71.10,marubozu_black_bearish,349.76,-0.40,0.30,264941.00,-0.37,35441195.00,18.98,338.80,0.29,5187020.00,37.70,16.97,0.16,9.68,6.64,22.40,78.06,17.15,4004618905554.70,8.97,26.42,22.58,344.92,342.97,345.07,358.68,337.95,426.58,515.00,340.00,425.00,20.60,2.88,3.04,497656986340.00,116376088547.00,126846221867.00
[object Object],MSFT,Microsoft Corporation,NASDAQ,500.59,stock,common,100.00,1.00,false,0.00,USD,0.52,19408203.00,0.93,3717153776870.31,USD,27.90,17.95,31.55,0.73,Technology services,america,Technology Services,StrongBuy,Strong buy,0.52,1.53,3.60,37.99,38.32,3.35,-2.57,67.51,764.28,514788.45,2.22,1.98,StrongBuy,Strong buy,StrongBuy,Strong buy,Buy,Buy,56.19,8.94,2.36,38.75,47.44,41.95,doji,500.96,0.59,0.70,312449.00,0.55,19408203.00,-10.36,499.99,-0.12,3587442.00,-4.76,27.90,0.88,11.17,8.40,20.37,55.62,48.49,3769123776870.31,11.36,24.28,18.97,497.26,495.42,471.46,436.98,431.86,571.36,700.00,400.00,572.50,19.73,4.24,4.71,390596458299.00,87619545211.00,90585590186.00
[object Object],AMZN,"Amazon.com, Inc.",NASDAQ,249.27,stock,common,100.00,1.00,false,0.00,USD,-2.24,43985401.00,1.23,2688704558678.65,USD,20.05,12.43,89.73,0.00,Retail trade,america,Retail Trade,StrongBuy,Strong buy,-2.24,0.47,-3.98,7.43,20.74,7.75,9.41,47.49,527.67,204430.91,1.94,1.89,Sell,Sell,StrongSell,Strong sell,Sell,Sell,44.07,-3.13,-6.04,-96.00,59.06,59.15,0.00,253.30,-0.66,0.38,403908.00,-0.78,43985401.00,4.77,249.41,0.06,6350146.00,10.85,20.05,0.23,3.58,4.87,16.84,0.00,22.05,2807428558678.65,3.62,28.54,16.17,252.42,257.57,256.29,254.83,240.63,330.94,405.00,230.00,330.00,12.77,1.82,1.96,828589236957.00,197034781840.00,202117916174.00
[object Object],SPCX,Space Exploration Technologies Corp,NASDAQ,148.36,stock,common,100.00,1.00,false,0.00,USD,-4.11,60243241.00,0.53,2013403854831.96,USD,0.00,0.00,0.00,0.00,Communications,america,Communications,Buy,Buy,-4.11,2.40,10.42,-5.28,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,3.75,4.18,Neutral,Neutral,Buy,Buy,Neutral,Neutral,52.55,0.81,10.77,43.12,64.75,73.22,0.00,153.22,-0.97,-0.27,811388.00,-0.93,60243241.00,1.77,149.09,0.49,5213756.00,0.00,0.00,0.00,0.00,15.36,0.00,0.00,19.51,1952892854831.96,0.00,0.00,0.00,150.44,145.08,135.32,0.00,0.00,222.94,800.00,75.00,212.00,0.00,-0.23,0.14,0.00,6826708501.00,12855870565.00
[object Object],TSM,"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",NYSE,446.57,dr,0.00,100.00,1.00,false,0.00,USD,-1.20,10166450.00,0.95,2011285506293.45,USD,32.23,13.86,57.78,0.61,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,-1.20,6.78,7.90,-1.40,37.48,43.14,58.14,281.78,1351.79,8458.64,1.90,1.91,Buy,Buy,StrongBuy,Strong buy,Sell,Sell,60.62,11.21,14.64,144.14,94.17,87.37,harami_bearish,449.88,-0.47,-1.03,126981.00,-0.49,10166450.00,-9.68,446.67,0.02,1131514.00,84.99,32.23,0.56,16.41,11.47,26.25,58.04,20.97,1935700104570.10,13.55,24.27,18.99,431.94,425.06,418.73,421.86,381.64,543.66,650.00,440.00,535.00,16.79,3.81,4.39,169256587550.00,39834731029.00,45258312769.00
[object Object],META,Meta Platforms Inc Class A,NASDAQ,744.10,stock,common,100.00,1.00,false,0.00,USD,1.02,30334720.00,1.21,1895599238892.01,USD,28.03,26.55,-3.86,0.29,Technology services,america,Technology Services,StrongBuy,Strong buy,1.02,9.44,35.24,33.94,37.77,12.28,-3.27,115.46,484.20,1669.56,4.94,3.51,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,76.95,90.41,98.28,153.91,90.05,89.78,0.00,747.77,1.52,0.87,485712.00,1.49,30334720.00,7.87,747.08,0.40,1998453.00,-13.26,28.03,0.00,8.28,7.26,14.65,46.60,20.99,1916955238892.01,8.40,22.05,17.48,687.16,616.08,612.08,606.63,625.53,762.55,1000.00,580.00,750.00,31.21,7.19,6.76,254115549654.00,60223636026.00,63246263984.00
[object Object],AVGO,Broadcom Inc.,NASDAQ,354.99,stock,common,100.00,1.00,false,0.00,USD,-2.62,23323842.00,0.87,1694590911821.53,USD,45.32,7.83,100.12,0.70,Electronic technology,america,Electronic Technology,StrongBuy,Strong buy,-2.62,3.69,-2.73,-8.17,15.61,0.63,4.34,606.43,1976.33,21414.55,2.51,2.45,Sell,Sell,StrongSell,Strong sell,Neutral,Neutral,44.37,-9.39,-16.60,-14.60,67.55,63.59,0.00,362.16,-0.65,0.00,256863.00,-0.64,23323842.00,13.38,355.01,0.01,4257074.00,4.80,45.32,0.46,19.99,17.00,42.67,44.03,72.36,1730034911821.53,19.42,39.97,33.24,353.34,366.48,377.94,391.70,368.79,533.94,715.00,350.00,527.50,11.67,3.22,3.83,105968604931.00,29240913570.00,34861670713.00
