name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
WMT,Walmart Inc.,NASDAQ,131.47,USD,0.86,0.47,4.10,1.62,31.21,17.99,36.24,184.14,493.28,747823.54,2.26,2.07,130.48,128.24,126.37,123.48,113.74,57.84,7,STRONG_UP,NEUTRAL
ASML,ASML Holding NV Sponsored ADR,NASDAQ,1581.58,USD,3.99,5.22,7.95,10.20,59.87,39.50,112.22,150.99,1625.67,57634.16,4.03,3.44,1501.68,1449.63,1410.95,1366.38,1148.06,60.70,7,STRONG_UP,NEUTRAL
COST,Costco Wholesale Corporation,NASDAQ,1033.08,USD,1.10,2.15,3.47,5.55,11.43,19.97,1.91,170.34,605.99,40881.41,2.08,1.89,1012.65,1006.05,999.43,973.85,953.36,60.80,7,STRONG_UP,NEUTRAL
LRCX,Lam Research Corporation,NASDAQ,295.44,USD,2.14,2.94,12.28,25.01,100.29,66.12,258.72,395.70,3853.43,132848.67,3.98,4.15,280.74,262.27,244.94,230.71,181.75,64.51,7,STRONG_UP,NEUTRAL
AMAT,"Applied Materials, Inc.",NASDAQ,436.61,USD,1.25,3.71,9.74,28.46,114.29,63.48,158.55,258.20,2129.88,788873.42,4.39,3.52,417.19,397.18,377.35,347.66,278.71,62.54,7,STRONG_UP,NEUTRAL
KLAC,KLA Corporation,NASDAQ,1849.71,USD,2.12,3.64,6.63,25.15,62.89,46.84,143.38,519.71,2594.01,159874.09,3.96,3.84,1787.78,1755.26,1637.31,1531.81,1296.04,58.47,7,STRONG_UP,NEUTRAL
LIN,Linde plc,NASDAQ,513.26,USD,1.86,3.16,1.92,9.22,19.74,20.40,12.98,71.33,351.93,5765.83,1.97,1.93,501.33,501.35,496.63,476.41,463.08,59.20,7,STRONG_UP,NEUTRAL
SNDK,Sandisk Corporation,NASDAQ,1447.23,USD,-0.33,0.68,66.91,125.94,513.23,492.28,3358.14,4027.87,4027.87,4027.87,8.91,7.42,1370.48,1050.09,890.14,681.25,408.43,69.78,7,STRONG_UP,NEUTRAL
MRVL,"Marvell Technology, Inc.",NASDAQ,177.95,USD,8.18,3.10,36.92,116.51,110.67,105.15,173.58,318.90,1763.35,1398.53,6.97,5.91,167.81,146.69,124.08,102.95,92.22,69.36,7,STRONG_UP,NEUTRAL
SBUX,Starbucks Corporation,NASDAQ,105.95,USD,-0.59,1.15,9.68,5.95,23.76,25.80,23.38,-4.56,87.75,32189.52,2.46,2.36,105.50,100.15,98.20,95.47,90.56,63.58,7,STRONG_UP,NEUTRAL
MPWR,"Monolithic Power Systems, Inc.",NASDAQ,1650.35,USD,3.18,4.39,23.49,36.82,87.73,77.92,133.84,431.33,2625.15,18115.78,4.28,4.01,1609.94,1468.44,1308.27,1191.11,1051.28,63.56,7,STRONG_UP,NEUTRAL
FANG,"Diamondback Energy, Inc.",NASDAQ,201.10,USD,1.49,1.14,5.54,19.75,38.86,33.10,40.03,158.85,132.22,1028.51,2.50,2.90,200.28,194.19,191.73,175.27,160.22,55.78,7,STRONG_UP,NEUTRAL
NVDA,NVIDIA Corporation,NASDAQ,225.83,USD,2.29,12.98,21.39,16.99,23.50,18.96,80.69,1525.85,22949.76,516080.50,3.38,3.30,209.36,199.77,191.18,188.54,185.44,72.13,6,STRONG_UP,OVERBOUGHT
GOOG,Alphabet Inc. Class C,NASDAQ,399.04,USD,3.97,2.43,26.51,27.75,46.76,25.65,149.52,248.23,1012.99,1308.86,2.33,2.45,388.62,346.91,327.06,323.84,289.27,75.07,6,STRONG_UP,OVERBOUGHT
GOOGL,Alphabet Inc. Class A,NASDAQ,402.62,USD,3.94,2.12,26.96,29.01,48.35,27.05,153.56,256.53,1008.20,15987.59,2.40,2.46,391.76,349.36,328.86,324.49,289.28,75.58,6,STRONG_UP,OVERBOUGHT
