ticker-view,name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
[object Object],INTC,Intel Corporation,NASDAQ,117.04,USD,-3.18,-2.74,35.88,163.25,212.94,209.88,469.81,103.16,271.44,290105.80,7.07,7.29,116.83,102.65,82.50,64.44,49.18,61.88,3,SIDEWAYS,NEUTRAL
[object Object],MDLZ,"Mondelez International, Inc. Class A",NASDAQ,61.89,USD,-0.80,0.50,3.15,3.01,8.46,14.74,-7.07,-3.00,38.24,200.29,1.73,1.79,61.62,60.37,59.27,58.73,58.93,58.07,3,SIDEWAYS,NEUTRAL
[object Object],BKR,Baker Hughes Company Class A,NASDAQ,64.61,USD,-0.15,-1.21,-5.84,-1.01,31.08,41.32,74.48,158.65,100.74,395.57,3.14,2.57,65.37,65.44,63.94,60.70,53.83,48.70,3,SIDEWAYS,NEUTRAL
[object Object],NVDA,NVIDIA Corporation,NASDAQ,215.71,USD,0.68,-2.35,1.42,19.01,20.50,13.63,51.65,1225.81,18616.70,492949.17,2.43,3.28,218.40,212.21,199.44,192.27,187.68,53.99,2,SIDEWAYS,NEUTRAL
[object Object],GOOG,Alphabet Inc. Class C,NASDAQ,378.90,USD,-1.87,-1.14,9.67,24.66,17.15,19.30,116.51,212.88,946.67,1237.76,1.83,2.30,385.38,373.45,345.10,331.89,299.68,54.51,2,SIDEWAYS,NEUTRAL
[object Object],GOOGL,Alphabet Inc. Class A,NASDAQ,382.21,USD,-2.03,-1.33,9.97,25.67,18.20,20.61,119.66,221.94,920.91,15172.06,1.71,2.29,389.10,376.46,347.61,333.08,299.93,54.39,2,SIDEWAYS,NEUTRAL
[object Object],AAPL,Apple Inc.,NASDAQ,309.67,USD,-0.91,1.16,15.74,13.51,11.69,13.74,52.12,147.58,1143.65,241173.72,1.43,1.87,305.45,288.51,275.24,268.44,263.23,73.78,2,SIDEWAYS,OVERBOUGHT
[object Object],AMZN,"Amazon.com, Inc.",NASDAQ,270.86,USD,-1.15,0.82,4.99,30.96,17.13,17.08,30.21,67.02,660.49,222145.93,2.36,2.46,267.01,264.90,246.67,234.45,231.52,59.98,2,SIDEWAYS,NEUTRAL
[object Object],AVGO,Broadcom Inc.,NASDAQ,435.27,USD,2.04,4.26,7.87,40.09,9.00,23.39,77.01,815.52,2726.46,26280.30,4.01,3.56,420.92,418.71,385.47,358.52,352.25,62.03,2,SIDEWAYS,NEUTRAL
[object Object],MU,"Micron Technology, Inc.",NASDAQ,952.77,USD,3.17,25.89,81.13,137.12,304.38,222.84,866.40,1021.96,7425.83,67352.74,7.00,6.97,805.06,663.14,557.19,477.06,338.65,77.17,2,SIDEWAYS,OVERBOUGHT
[object Object],WMT,Walmart Inc.,NASDAQ,115.32,USD,-3.01,-4.96,-8.96,-8.12,5.51,3.50,18.12,143.28,390.18,655967.24,2.30,2.20,124.28,128.01,126.42,124.86,115.07,28.24,2,SIDEWAYS,OVERSOLD
[object Object],AMD,"Advanced Micro Devices, Inc.",NASDAQ,504.10,USD,-2.70,7.29,54.36,151.92,133.23,130.29,336.51,522.27,10694.43,109883.85,5.23,5.55,464.54,397.80,327.91,271.35,237.52,71.84,2,SIDEWAYS,OVERBOUGHT
[object Object],ASML,ASML Holding NV Sponsored ADR,NASDAQ,1608.36,USD,0.16,-0.72,15.98,12.45,54.59,41.86,112.23,134.89,1507.56,58611.74,3.09,3.32,1565.27,1505.98,1455.59,1419.26,1195.23,59.04,2,SIDEWAYS,NEUTRAL
[object Object],CSCO,"Cisco Systems, Inc.",NASDAQ,119.90,USD,1.06,1.22,37.31,54.41,57.47,56.44,88.14,126.40,316.32,155094.28,2.84,2.82,118.20,101.46,93.14,85.66,78.85,75.29,2,SIDEWAYS,OVERBOUGHT
[object Object],COST,Costco Wholesale Corporation,NASDAQ,949.75,USD,-4.57,-8.68,-3.91,-4.12,4.94,10.29,-6.52,149.98,534.98,37575.59,2.99,2.21,1032.40,1017.17,1007.30,992.61,957.39,33.08,2,SIDEWAYS,NEUTRAL
