name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
AVGO,Broadcom Inc.,NASDAQ,422.12,USD,1.28,0.07,11.70,22.77,27.35,19.66,83.34,854.71,2896.49,25482.73,3.49,3.27,421.98,397.67,367.20,350.95,346.13,60.44,7,STRONG_UP,NEUTRAL
WMT,Walmart Inc.,NASDAQ,131.81,USD,0.26,1.47,7.03,1.88,31.55,18.29,37.27,182.45,509.67,749757.78,2.11,2.00,130.47,128.47,126.45,123.65,113.90,58.63,7,STRONG_UP,NEUTRAL
INTC,Intel Corporation,NASDAQ,114.81,USD,-4.56,3.41,76.20,140.19,227.79,203.97,413.69,107.65,283.98,284576.42,8.94,6.93,113.63,83.65,68.22,56.46,44.34,68.51,7,STRONG_UP,NEUTRAL
COST,Costco Wholesale Corporation,NASDAQ,1035.00,USD,0.19,4.18,6.30,5.75,11.64,20.19,3.63,168.80,616.26,40957.58,1.74,1.85,1014.69,1007.33,999.99,975.63,953.86,61.39,7,STRONG_UP,NEUTRAL
CAT,Caterpillar Inc.,NYSE,903.48,USD,0.13,-2.85,13.50,16.32,64.58,56.42,156.87,272.20,1183.53,26103.37,2.49,2.90,903.35,829.66,778.15,725.06,612.69,63.92,7,STRONG_UP,NEUTRAL
LRCX,Lam Research Corporation,NASDAQ,295.01,USD,-0.15,-0.68,8.52,24.83,100.00,65.88,246.50,399.69,3986.58,132655.17,3.23,4.06,284.46,264.70,246.38,232.01,182.73,64.23,7,STRONG_UP,NEUTRAL
AMAT,"Applied Materials, Inc.",NASDAQ,440.67,USD,0.93,3.36,10.17,29.65,116.28,65.00,154.07,261.20,2155.22,796210.02,3.57,3.46,421.81,400.08,379.01,349.53,279.98,63.61,7,STRONG_UP,NEUTRAL
KO,Coca-Cola Company,NYSE,80.31,USD,0.06,1.93,5.71,1.68,12.47,14.97,16.59,46.44,77.83,30893.98,1.49,1.53,79.05,77.37,76.98,75.69,72.39,65.45,7,STRONG_UP,NEUTRAL
KLAC,KLA Corporation,NASDAQ,1841.29,USD,-0.46,1.32,2.94,24.58,62.15,46.17,134.04,516.95,2603.01,159145.88,3.35,3.80,1796.88,1765.97,1644.62,1538.00,1300.66,57.61,7,STRONG_UP,NEUTRAL
LIN,Linde plc,NASDAQ,512.98,USD,-0.06,2.40,2.08,9.16,19.68,20.34,14.70,69.75,357.52,5762.57,1.63,1.87,502.51,501.98,496.91,477.35,463.29,58.96,7,STRONG_UP,NEUTRAL
GLW,Corning Inc,NYSE,201.65,USD,-2.35,7.94,16.12,51.26,150.03,126.80,322.48,358.30,978.34,3427.44,7.11,6.33,184.50,170.77,155.70,133.32,106.19,66.19,7,STRONG_UP,NEUTRAL
WDC,Western Digital Corporation,NASDAQ,485.32,USD,-1.77,2.82,35.28,70.29,222.30,173.89,893.91,802.08,1712.82,9242.31,5.45,5.78,475.02,403.00,354.01,297.37,209.54,67.78,7,STRONG_UP,NEUTRAL
DELL,"Dell Technologies, Inc. Class C",NYSE,246.40,USD,1.04,4.73,32.79,109.70,89.65,91.90,125.02,396.31,1039.56,1039.56,6.11,4.97,234.39,208.37,188.56,155.67,146.64,66.25,7,STRONG_UP,NEUTRAL
UNP,Union Pacific Corporation,NYSE,265.46,USD,0.31,-1.00,5.72,0.39,19.73,14.74,16.77,17.09,223.38,27363.98,1.36,2.08,265.06,258.50,252.47,248.05,236.73,58.12,7,STRONG_UP,NEUTRAL
DE,Deere & Company,NYSE,582.00,USD,0.23,-1.71,-2.91,-5.04,22.97,24.89,16.69,52.36,603.66,26192.96,1.93,2.63,581.90,584.21,581.38,562.58,519.49,50.09,7,STRONG_UP,NEUTRAL
WELL,Welltower Inc.,NYSE,220.04,USD,-0.05,2.20,6.79,5.27,14.34,18.55,52.57,200.72,206.68,3200.58,1.95,2.59,216.49,210.96,207.58,200.81,189.58,63.26,7,STRONG_UP,NEUTRAL
IBKR,"Interactive Brokers Group, Inc. Class A",NASDAQ,85.65,USD,0.62,-1.40,12.70,11.73,30.94,30.94,68.74,398.54,853.26,938.18,2.30,2.88,84.15,78.57,73.99,73.02,69.39,66.86,7,STRONG_UP,NEUTRAL
VRT,Vertiv Holdings Co. Class A,NYSE,365.21,USD,-1.29,1.85,18.96,49.71,125.44,115.51,236.44,1472.82,3665.03,3665.03,5.00,4.94,350.94,316.93,294.00,246.27,201.92,67.78,7,STRONG_UP,NEUTRAL
PLD,"Prologis, Inc.",NYSE,142.28,USD,0.20,-0.77,3.74,1.14,14.74,11.38,30.71,23.99,199.79,505.45,1.23,1.91,142.18,140.38,137.10,135.22,126.72,54.75,7,STRONG_UP,NEUTRAL
SBUX,Starbucks Corporation,NASDAQ,108.23,USD,2.15,2.15,10.57,8.23,26.42,28.51,24.82,-2.69,94.31,32884.38,2.04,2.34,105.79,100.74,98.42,95.66,90.64,68.19,7,STRONG_UP,NEUTRAL
MO,"Altria Group, Inc.",NYSE,72.02,USD,0.67,3.63,8.79,9.52,24.17,24.90,27.81,43.32,12.01,63144.23,2.02,2.11,71.01,67.98,67.21,64.95,63.85,61.20,7,STRONG_UP,NEUTRAL
HWM,Howmet Aerospace Inc.,NYSE,273.47,USD,0.14,-0.84,6.29,15.97,36.74,33.08,72.22,728.95,1526.83,1526.83,2.64,3.21,261.13,251.31,246.75,236.62,213.62,66.14,7,STRONG_UP,NEUTRAL
EQIX,"Equinix, Inc.",NASDAQ,1080.49,USD,0.30,-0.33,1.93,12.97,37.70,41.03,24.71,51.13,213.27,164.83,1.65,2.13,1079.81,1069.69,1028.59,934.19,859.39,56.80,7,STRONG_UP,NEUTRAL
CMI,Cummins Inc.,NYSE,710.73,USD,0.16,-0.29,14.63,18.53,53.91,39.24,113.17,163.23,534.58,16500.99,2.20,3.00,689.49,643.14,602.88,584.84,509.44,68.03,7,STRONG_UP,NEUTRAL
FCX,"Freeport-McMoRan, Inc.",NYSE,66.25,USD,-1.35,7.50,-3.34,0.42,67.19,28.08,69.50,54.46,514.56,440.82,3.76,3.59,61.68,63.56,61.23,60.64,51.51,59.01,7,STRONG_UP,NEUTRAL
MAR,"Marriott International, Inc. Class A",NASDAQ,354.00,USD,1.09,-1.12,-1.38,-2.20,24.18,13.99,29.96,147.10,429.31,2038.27,1.80,2.31,352.88,356.90,343.84,336.11,305.20,50.69,7,STRONG_UP,NEUTRAL
BK,Bank of New York Mellon Corp,NYSE,135.77,USD,0.58,1.74,4.79,11.13,22.74,17.03,54.16,162.10,245.30,6268.48,1.78,2.08,132.95,131.96,125.72,122.70,115.09,63.21,7,STRONG_UP,NEUTRAL
WMB,"Williams Companies, Inc.",NYSE,76.07,USD,0.48,5.40,6.82,5.99,28.63,26.55,31.20,192.69,291.11,3193.31,2.06,2.20,74.64,73.00,73.21,69.61,64.72,60.70,7,STRONG_UP,NEUTRAL
JCI,Johnson Controls International plc,NYSE,143.46,USD,-0.24,-0.81,1.37,0.93,20.96,19.09,49.34,119.92,298.14,38494.63,2.53,2.61,142.63,140.88,137.65,132.07,121.40,55.92,7,STRONG_UP,NEUTRAL
SLB,SLB Limited,NYSE,55.63,USD,0.44,2.80,8.43,8.03,52.65,44.82,55.81,71.00,-24.11,7787.92,2.11,2.94,55.16,53.71,51.59,49.27,42.31,57.89,7,STRONG_UP,NEUTRAL
CIEN,Ciena Corporation,NYSE,568.72,USD,-1.59,0.77,16.84,89.57,209.00,135.98,602.29,1009.47,3515.48,392.39,5.51,6.21,558.74,511.60,455.21,363.21,258.44,63.05,7,STRONG_UP,NEUTRAL
MPWR,"Monolithic Power Systems, Inc.",NASDAQ,1628.29,USD,-1.34,-0.49,18.64,34.99,85.22,75.54,120.93,422.04,2540.33,17872.30,3.57,3.97,1611.33,1485.39,1318.86,1198.10,1055.80,61.17,7,STRONG_UP,NEUTRAL
COHR,Coherent Corp.,NYSE,400.38,USD,-0.82,21.76,26.27,76.18,197.97,112.97,403.50,537.34,1953.23,98455.08,8.42,7.35,355.20,325.34,295.39,254.88,190.07,69.91,7,STRONG_UP,NEUTRAL
LITE,"Lumentum Holdings, Inc.",NASDAQ,1003.42,USD,-2.62,9.55,11.35,69.11,365.58,164.49,1238.96,1348.77,4091.40,5294.73,8.96,8.30,974.06,897.40,812.60,642.46,418.28,58.71,7,STRONG_UP,NEUTRAL
HLT,Hilton Worldwide Holdings Inc.,NYSE,316.05,USD,1.49,-1.57,-3.43,-2.90,17.71,10.17,23.70,156.07,590.16,623.21,1.71,2.29,315.79,322.50,313.11,308.09,288.76,47.73,7,STRONG_UP,NEUTRAL
APD,"Air Products and Chemicals, Inc.",NYSE,303.62,USD,-0.84,1.76,2.06,3.24,15.89,23.79,11.45,0.87,131.29,28200.43,1.90,1.95,301.19,298.86,293.08,280.41,274.81,56.66,7,STRONG_UP,NEUTRAL
KEYS,Keysight Technologies Inc,NYSE,362.01,USD,0.23,-1.26,8.51,51.39,106.26,76.33,120.02,158.86,1278.58,1197.54,2.41,2.70,359.29,338.65,316.77,273.70,224.92,65.32,7,STRONG_UP,NEUTRAL
AFL,Aflac Incorporated,NYSE,116.23,USD,0.65,2.69,4.32,-0.21,0.98,5.53,10.72,106.59,239.06,154873.33,1.64,1.84,114.41,113.78,111.72,111.66,110.04,60.09,7,STRONG_UP,NEUTRAL
TRGP,Targa Resources Corp.,NYSE,264.04,USD,0.28,7.97,10.60,19.24,55.21,43.63,56.37,586.70,530.00,995.58,2.48,2.55,255.87,246.89,244.63,223.47,194.69,64.64,7,STRONG_UP,NEUTRAL
OKE,"ONEOK, Inc.",NYSE,89.28,USD,0.55,5.78,5.61,4.73,28.02,21.54,3.53,64.69,113.95,5762.06,1.80,2.36,88.19,87.34,87.72,83.15,77.69,54.88,7,STRONG_UP,NEUTRAL
ALL,Allstate Corporation,NYSE,216.27,USD,0.34,1.53,1.15,5.05,1.91,4.46,6.54,55.87,221.88,1353.92,1.88,2.27,216.08,214.59,211.42,208.13,206.33,53.88,7,STRONG_UP,NEUTRAL
CTVA,Corteva Inc,NYSE,83.16,USD,-0.23,2.73,-0.18,9.85,25.87,24.12,23.33,79.49,179.53,179.53,2.15,2.35,82.03,81.81,80.99,76.70,72.13,56.76,7,STRONG_UP,NEUTRAL
D,Dominion Energy Inc,NYSE,62.84,USD,0.19,2.15,0.08,-2.87,3.19,6.67,17.33,-19.62,-12.73,472.89,1.52,1.89,62.61,62.70,62.37,61.81,61.09,52.07,7,STRONG_UP,NEUTRAL
EBAY,eBay Inc.,NASDAQ,112.22,USD,-0.70,3.19,14.09,35.56,32.88,28.99,62.64,84.54,373.90,11861.23,2.89,3.60,108.47,103.10,98.20,93.51,91.53,66.22,7,STRONG_UP,NEUTRAL
STT,State Street Corporation,NYSE,153.48,USD,1.25,1.50,8.08,15.49,30.65,19.36,57.22,78.24,160.18,47381.45,1.37,2.23,150.40,146.33,137.19,133.65,124.70,65.83,7,STRONG_UP,NEUTRAL
LYV,"Live Nation Entertainment, Inc.",NYSE,170.76,USD,1.37,1.04,3.04,13.50,25.12,19.89,19.80,100.38,651.61,1384.91,2.97,3.45,163.78,160.03,158.20,153.41,152.62,64.67,7,STRONG_UP,NEUTRAL
SATS,EchoStar Corporation Class A,NASDAQ,133.09,USD,-0.11,4.78,4.05,20.75,91.94,22.46,578.34,398.46,305.27,995.31,4.29,4.66,126.12,125.83,120.16,117.54,92.03,60.65,7,STRONG_UP,NEUTRAL
JBL,Jabil Inc.,NYSE,353.75,USD,-0.47,-3.80,14.90,34.13,78.96,52.95,110.20,560.23,1994.43,40328.57,3.07,3.66,352.28,326.10,299.37,272.78,242.81,60.74,7,STRONG_UP,NEUTRAL
HAL,Halliburton Company,NYSE,41.13,USD,0.27,2.95,7.42,17.08,52.62,45.13,94.47,79.69,4.05,3009.07,2.47,2.78,40.88,39.49,38.33,35.58,30.01,57.15,7,STRONG_UP,NEUTRAL
Q,"Qnity Electronics, Inc.",NYSE,162.40,USD,0.23,7.62,19.68,40.64,92.99,98.80,130.35,130.35,130.35,130.35,5.44,4.31,151.72,139.63,129.08,114.40,0.00,68.02,7,STRONG_UP,NEUTRAL
STLD,"Steel Dynamics, Inc.",NASDAQ,235.62,USD,-0.62,-3.03,20.64,14.58,55.42,37.28,74.77,271.76,875.25,5285.60,1.91,3.07,234.79,214.83,198.96,191.25,168.28,66.70,7,STRONG_UP,NEUTRAL
NTRS,Northern Trust Corporation,NASDAQ,164.78,USD,1.11,1.22,6.67,11.27,28.66,20.48,54.14,37.24,139.99,16096.89,1.40,2.40,162.21,159.52,150.93,148.18,138.95,60.98,7,STRONG_UP,NEUTRAL
BIIB,Biogen Inc.,NASDAQ,199.70,USD,-2.36,4.92,12.37,5.02,21.24,13.87,61.86,-29.05,-19.18,6931.61,3.08,2.90,194.05,185.48,185.46,183.95,167.43,61.62,7,STRONG_UP,NEUTRAL
TSN,"Tyson Foods, Inc. Class A",NYSE,67.44,USD,0.81,-0.49,5.20,4.75,23.96,15.14,22.03,-16.41,-1.87,83611.63,2.72,2.86,67.41,65.41,63.84,62.82,58.85,58.51,7,STRONG_UP,NEUTRAL
PFG,"Principal Financial Group, Inc.",NASDAQ,101.29,USD,0.87,-0.11,8.27,8.77,20.28,14.70,23.98,52.55,141.92,394.10,1.35,2.05,100.62,97.18,93.62,92.94,87.44,64.32,7,STRONG_UP,NEUTRAL
DD,"DuPont de Nemours, Inc.",NYSE,50.90,USD,-0.51,2.11,7.47,-1.95,27.19,25.87,73.85,45.54,66.19,1659.47,2.20,2.88,49.23,47.33,46.47,45.99,40.28,63.64,7,STRONG_UP,NEUTRAL
EVRG,"Evergy, Inc.",NASDAQ,82.52,USD,0.07,1.38,0.46,3.38,8.10,14.09,27.80,31.82,58.30,525.74,1.23,1.66,82.35,82.20,81.93,79.51,77.02,52.25,7,STRONG_UP,NEUTRAL
HST,"Host Hotels & Resorts, Inc.",NASDAQ,21.76,USD,0.93,-1.81,7.72,8.42,23.81,22.59,38.25,26.36,39.22,653.28,1.77,1.97,21.58,20.86,20.14,19.56,18.25,62.03,7,STRONG_UP,NEUTRAL
HAS,"Hasbro, Inc.",NASDAQ,96.77,USD,2.94,-0.95,4.79,-8.61,22.80,18.01,47.56,0.43,13.98,43125.01,2.25,3.05,95.71,94.14,93.56,92.67,85.31,55.15,7,STRONG_UP,NEUTRAL
GL,Globe Life Inc.,NYSE,154.22,USD,0.80,0.16,4.74,7.36,16.13,10.45,28.32,45.20,164.47,19097.47,1.76,1.99,153.34,150.73,146.11,144.08,140.70,59.73,7,STRONG_UP,NEUTRAL
MGM,MGM Resorts International,NYSE,37.95,USD,1.46,-1.34,6.17,3.31,17.22,3.62,9.29,-1.93,74.19,1280.18,2.80,3.61,37.93,38.22,37.51,36.53,35.61,49.48,7,STRONG_UP,NEUTRAL
NVDA,NVIDIA Corporation,NASDAQ,231.64,USD,2.57,11.18,21.38,20.00,26.68,22.02,73.91,1536.22,22682.40,529360.67,2.86,3.21,212.57,201.64,192.15,189.11,185.72,75.02,6,STRONG_UP,OVERBOUGHT
GOOG,Alphabet Inc. Class C,NASDAQ,395.60,USD,-0.86,-0.37,22.83,26.65,45.50,24.56,145.24,242.61,1003.38,1296.70,2.13,2.34,389.98,350.27,328.90,324.76,290.27,71.99,6,STRONG_UP,OVERBOUGHT
GOOGL,Alphabet Inc. Class A,NASDAQ,398.68,USD,-0.98,-0.31,22.75,27.74,46.89,25.80,149.23,252.25,1000.83,15829.95,2.18,2.36,393.15,352.73,330.77,325.45,290.29,72.07,6,STRONG_UP,OVERBOUGHT
AAPL,Apple Inc.,NASDAQ,298.57,USD,-0.10,3.21,15.17,8.34,10.15,9.67,40.55,135.43,1192.65,232525.36,1.40,2.10,289.43,273.25,265.40,265.11,258.68,75.09,6,STRONG_UP,OVERBOUGHT
AMZN,"Amazon.com, Inc.",NASDAQ,269.58,USD,-0.20,-1.98,11.50,32.18,14.69,16.53,27.49,66.11,659.26,221099.76,1.75,2.50,270.72,253.20,235.85,230.85,229.26,66.42,6,STRONG_UP,NEUTRAL
TSLA,"Tesla, Inc.",NASDAQ,443.89,USD,-0.31,8.94,24.11,3.16,14.91,-3.04,29.60,131.38,3098.86,34944.39,4.69,4.23,417.92,386.69,386.46,408.91,406.88,69.37,6,STRONG_UP,NEUTRAL
LLY,Eli Lilly and Company,NYSE,1006.61,USD,-0.90,2.16,8.82,-1.78,-0.24,-6.48,34.35,412.32,1224.84,35740.35,3.20,2.96,980.98,937.12,939.74,995.18,920.27,61.27,6,STRONG_UP,NEUTRAL
