ticker-view,name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
[object Object],INTC,Intel Corporation,NASDAQ,108.15,USD,-5.69,-10.13,16.04,148.96,149.28,186.34,433.81,90.04,242.03,268062.66,9.18,7.15,116.53,103.89,83.69,65.10,49.60,52.40,3,SIDEWAYS,NEUTRAL
[object Object],MO,"Altria Group, Inc.",NYSE,68.66,USD,-1.33,-6.83,-6.26,0.33,16.35,19.07,15.35,38.70,7.81,60190.40,2.69,1.78,72.33,70.34,68.46,66.58,64.35,41.87,3,SIDEWAYS,NEUTRAL
[object Object],FCX,"Freeport-McMoRan, Inc.",NYSE,67.06,USD,2.06,6.94,16.25,4.53,51.30,29.66,72.67,52.42,520.97,447.47,4.63,3.55,63.10,62.49,62.16,61.85,52.74,59.73,3,SIDEWAYS,NEUTRAL
[object Object],WMB,"Williams Companies, Inc.",NYSE,70.39,USD,-1.39,-9.54,-7.80,-7.54,16.49,17.11,17.38,160.34,222.32,2947.62,3.00,2.17,75.66,74.43,73.70,71.40,65.67,35.83,3,SIDEWAYS,NEUTRAL
[object Object],SLB,SLB Limited,NYSE,54.92,USD,0.69,-3.86,-2.67,9.26,50.77,43.00,64.45,64.50,-27.16,7688.66,3.16,2.30,56.48,55.52,53.77,51.15,43.58,48.28,3,SIDEWAYS,NEUTRAL
[object Object],MDLZ,"Mondelez International, Inc. Class A",NASDAQ,61.09,USD,-0.14,-0.80,-1.33,1.88,9.13,13.25,-9.77,-3.71,37.27,196.39,2.11,1.70,61.62,60.48,59.35,58.81,58.93,52.18,3,SIDEWAYS,NEUTRAL
[object Object],BKR,Baker Hughes Company Class A,NASDAQ,63.24,USD,-1.00,-3.30,-8.86,-2.67,26.86,38.32,70.41,146.45,97.77,385.06,3.80,2.51,65.21,65.53,63.98,60.83,53.93,44.59,3,SIDEWAYS,NEUTRAL
[object Object],D,Dominion Energy Inc,NYSE,64.69,USD,-3.35,-5.15,0.30,4.04,6.92,9.82,15.80,-14.68,-9.14,489.81,2.06,1.78,67.29,64.09,63.27,62.69,61.42,48.89,3,SIDEWAYS,NEUTRAL
[object Object],CARR,Carrier Global Corp.,NYSE,65.05,USD,1.85,3.91,-3.20,5.96,21.38,22.48,-8.77,39.56,442.08,442.08,3.83,2.92,63.70,64.15,61.87,60.90,59.47,54.13,3,SIDEWAYS,NEUTRAL
[object Object],DAL,"Delta Air Lines, Inc.",NYSE,81.45,USD,-1.25,7.13,19.25,30.34,25.08,16.61,68.86,69.69,87.89,258.02,3.35,2.90,77.15,72.36,70.36,68.88,65.36,70.06,3,SIDEWAYS,OVERBOUGHT
[object Object],ON,ON Semiconductor Corporation,NASDAQ,120.80,USD,0.15,8.97,19.73,89.37,134.20,118.64,183.10,203.52,1133.91,449.09,6.88,5.13,116.86,106.44,90.20,76.80,63.93,64.99,3,SIDEWAYS,NEUTRAL
[object Object],XYZ,"Block, Inc. Class A",NYSE,76.15,USD,0.57,11.81,6.59,20.43,24.75,15.87,23.38,-65.59,685.04,579.90,4.69,3.34,71.42,71.42,67.63,64.14,67.71,64.34,3,SIDEWAYS,NEUTRAL
[object Object],ADM,Archer-Daniels-Midland Company,NYSE,82.51,USD,3.42,6.77,10.54,20.56,35.98,43.65,71.57,20.95,93.55,15777.08,3.77,3.03,79.24,76.68,74.23,70.86,65.58,66.87,3,SIDEWAYS,NEUTRAL
[object Object],CFG,"Citizens Financial Group, Inc.",NYSE,60.66,USD,-2.57,-3.36,-6.32,2.05,10.59,3.76,51.05,20.17,160.57,182.14,2.57,2.06,62.30,63.33,62.56,62.28,57.75,39.38,3,SIDEWAYS,NEUTRAL
[object Object],EQR,Equity Residential,NYSE,66.16,USD,1.08,0.75,1.07,6.06,6.93,6.16,-4.82,-16.91,-2.55,376.83,1.95,1.66,66.00,65.04,63.00,62.58,62.58,57.44,3,SIDEWAYS,NEUTRAL
[object Object],NI,NiSource Inc,NYSE,45.33,USD,-1.94,-5.20,-6.16,-2.46,6.87,8.54,16.46,77.61,89.96,692.05,1.77,1.59,47.01,47.39,47.20,46.16,44.24,34.81,3,SIDEWAYS,NEUTRAL
[object Object],TSN,"Tyson Foods, Inc. Class A",NYSE,59.70,USD,-2.16,-10.19,-7.04,-6.32,3.87,1.94,7.58,-25.83,-6.67,74015.86,2.81,2.73,64.48,65.38,64.62,63.53,59.36,29.70,3,SIDEWAYS,OVERSOLD
[object Object],DD,"DuPont de Nemours, Inc.",NYSE,47.37,USD,-2.17,-0.13,3.41,-1.86,19.44,17.14,66.41,32.39,52.71,1537.44,3.53,2.89,47.83,47.81,47.06,46.72,41.27,47.63,3,SIDEWAYS,NEUTRAL
[object Object],LNT,Alliant Energy Corporation,NASDAQ,69.64,USD,-2.75,-4.97,-5.16,-2.62,4.58,7.12,12.49,22.09,88.37,1234.42,2.15,1.50,72.57,72.42,72.13,70.58,68.45,35.79,3,SIDEWAYS,NEUTRAL
[object Object],FTV,Fortive Corp.,NYSE,58.73,USD,0.71,-0.21,-3.22,1.94,10.30,6.15,10.15,8.04,116.83,116.83,2.64,2.07,59.08,60.01,58.82,57.59,54.18,45.90,3,SIDEWAYS,NEUTRAL
[object Object],SWKS,"Skyworks Solutions, Inc.",NASDAQ,75.06,USD,-3.59,1.99,8.06,30.69,9.70,16.96,9.36,-55.89,13.09,5096.06,8.03,5.45,76.74,69.25,63.85,61.11,66.45,56.07,3,SIDEWAYS,NEUTRAL
[object Object],NVDA,NVIDIA Corporation,NASDAQ,223.76,USD,5.98,1.29,11.17,25.36,23.57,17.87,61.31,1276.79,19148.17,511349.09,3.53,3.12,217.79,212.80,200.25,192.59,187.86,60.00,2,SIDEWAYS,NEUTRAL
[object Object],GOOGL,Alphabet Inc. Class A,NASDAQ,377.39,USD,-0.78,-2.57,-1.11,26.39,19.47,19.09,120.25,215.92,908.43,14979.46,2.11,2.03,386.97,377.58,348.98,333.69,300.80,50.54,2,SIDEWAYS,NEUTRAL
[object Object],GOOG,Alphabet Inc. Class C,NASDAQ,373.36,USD,-0.82,-2.58,-1.22,25.11,18.14,17.56,116.55,206.62,919.41,1218.20,2.25,2.04,383.13,374.50,346.41,332.46,300.52,49.94,2,SIDEWAYS,NEUTRAL
[object Object],AAPL,Apple Inc.,NASDAQ,307.77,USD,-1.37,0.54,10.37,16.81,7.54,13.04,54.37,147.64,1143.26,239693.37,1.83,1.68,306.44,289.85,276.46,268.92,263.61,69.66,2,SIDEWAYS,NEUTRAL
[object Object],AMZN,"Amazon.com, Inc.",NASDAQ,262.32,USD,-3.07,-2.36,-1.23,29.16,12.41,13.39,28.06,62.77,627.76,215138.69,2.91,2.07,266.81,265.29,247.74,234.67,231.71,49.96,2,SIDEWAYS,NEUTRAL
[object Object],AVGO,Broadcom Inc.,NASDAQ,457.50,USD,2.40,9.58,10.22,46.17,20.39,29.69,89.66,869.63,2882.20,27627.27,5.11,3.55,425.30,420.79,388.45,359.77,353.05,69.10,2,SIDEWAYS,NEUTRAL
[object Object],MU,"Micron Technology, Inc.",NASDAQ,1030.76,USD,6.15,36.20,101.41,166.66,336.04,249.26,973.26,1121.42,8074.11,72873.81,7.91,6.54,837.49,682.94,569.29,484.11,343.27,80.55,2,SIDEWAYS,OVERBOUGHT
[object Object],WMT,Walmart Inc.,NASDAQ,114.72,USD,-0.89,-5.46,-13.04,-9.33,1.97,2.95,18.31,143.40,388.15,652505.53,2.73,2.05,122.65,127.59,126.30,124.87,115.14,27.51,2,SIDEWAYS,OVERSOLD
[object Object],AMD,"Advanced Micro Devices, Inc.",NASDAQ,510.44,USD,-1.10,8.64,45.06,166.60,136.03,133.18,357.45,530.17,10996.52,111267.11,6.49,5.36,474.38,405.93,334.25,274.43,239.21,73.82,2,SIDEWAYS,OVERBOUGHT
[object Object],ORCL,Oracle Corporation,NYSE,248.71,USD,10.16,29.76,49.45,71.82,24.15,25.95,52.18,212.06,520.84,392974.46,7.15,4.69,200.03,188.04,172.97,168.17,207.04,80.80,2,SIDEWAYS,OVERBOUGHT
[object Object],CSCO,"Cisco Systems, Inc.",NASDAQ,121.73,USD,1.09,2.77,32.68,55.31,58.95,58.83,93.48,131.22,322.10,157469.44,3.71,2.81,118.60,102.66,94.02,86.13,79.11,76.80,2,SIDEWAYS,OVERBOUGHT
[object Object],COST,Costco Wholesale Corporation,NASDAQ,946.30,USD,-1.05,-9.01,-6.80,-5.61,2.77,9.89,-5.59,150.09,528.77,37438.92,3.47,2.11,1022.79,1015.61,1006.86,993.25,957.26,32.44,2,SIDEWAYS,NEUTRAL
[object Object],CAT,Caterpillar Inc.,NYSE,864.14,USD,-1.34,-1.58,-3.65,18.66,48.63,49.61,145.61,255.51,1100.53,24962.69,3.40,2.70,878.87,871.59,818.13,757.25,637.83,49.48,2,SIDEWAYS,NEUTRAL
[object Object],LRCX,Lam Research Corporation,NASDAQ,317.36,USD,-0.26,3.81,24.39,41.82,102.29,78.44,279.30,390.00,3744.92,142712.72,5.28,4.07,304.62,283.68,265.37,245.50,193.93,65.50,2,SIDEWAYS,NEUTRAL
[object Object],BAC,Bank of America Corp,NYSE,51.55,USD,-0.09,-0.26,-3.98,5.73,-3.18,-6.31,16.67,19.62,253.12,1558.05,2.55,1.93,51.31,51.89,51.28,51.59,51.86,50.82,2,SIDEWAYS,NEUTRAL
