name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
ASML,ASML Holding NV,EURONEXT,1340.40,EUR,1.01,1.85,4.72,12.58,54.62,45.79,95.17,151.95,1552.57,5139.13,3.06,3.69,1280.20,1237.46,1212.33,1169.45,985.21,61.48,7,STRONG_UP,NEUTRAL
HSBA,HSBC Holdings Plc,LSE,1337.00,GBX,-0.15,-0.40,0.35,5.23,20.97,12.77,53.06,200.25,211.87,457.91,1.69,1.84,1329.84,1325.48,1282.72,1267.13,1143.71,53.92,7,STRONG_UP,NEUTRAL
TTE,TotalEnergies SE,EURONEXT,78.04,EUR,0.30,2.54,-1.50,21.01,39.11,40.23,45.49,95.79,82.32,3098.36,1.37,2.45,77.61,77.46,75.81,67.92,60.75,54.46,7,STRONG_UP,NEUTRAL
ABBN,ABB Ltd.,SIX,82.86,CHF,2.09,1.67,17.13,18.24,49.78,39.03,77.16,176.57,314.51,219.40,2.50,2.42,80.73,74.73,71.43,67.68,61.99,68.42,7,STRONG_UP,NEUTRAL
ENR,Siemens Energy AG,XETR,180.28,EUR,1.72,-2.89,6.67,11.56,60.25,48.38,138.47,609.48,719.08,719.08,3.78,4.47,179.01,171.15,162.85,152.54,127.48,56.08,7,STRONG_UP,NEUTRAL
ABI,Anheuser-Busch InBev SA/NV,EURONEXT,69.62,EUR,1.58,5.36,8.61,3.14,25.44,28.26,18.04,12.11,-37.28,263.93,1.44,2.28,67.65,64.49,63.42,62.07,57.30,66.16,7,STRONG_UP,NEUTRAL
ENEL,Enel SpA,MIL,9.78,EUR,0.44,-1.21,-0.65,1.66,10.14,10.60,27.16,19.12,145.24,54.09,1.86,2.00,9.76,9.76,9.63,9.45,8.88,51.77,7,STRONG_UP,NEUTRAL
GLEN,Glencore plc,LSE,590.03,GBX,-0.35,4.62,3.12,19.44,61.37,43.77,117.68,81.88,351.44,7.67,2.54,2.21,571.84,562.71,547.36,510.71,422.30,67.33,7,STRONG_UP,NEUTRAL
ENI,Eni S.p.A.,MIL,23.54,EUR,-0.15,2.77,-1.65,30.68,43.00,45.55,74.46,125.52,74.98,334.00,1.72,2.70,23.42,23.47,22.99,20.09,17.73,53.43,7,STRONG_UP,NEUTRAL
G,Assicurazioni Generali S.p.A.,MIL,39.21,EUR,0.85,-0.23,8.05,11.65,14.68,9.62,13.88,121.40,213.68,158.64,1.51,1.86,38.70,37.43,35.95,35.52,34.41,65.09,7,STRONG_UP,NEUTRAL
AAL,Anglo American plc,LSE,4025.00,GBX,-1.23,4.82,13.05,12.12,43.54,29.92,58.08,9.06,498.20,1550.32,3.02,3.38,3825.45,3624.55,3441.39,3407.06,3015.53,66.13,7,STRONG_UP,NEUTRAL
ORA,Orange SA,EURONEXT,18.64,EUR,1.08,3.58,5.73,8.02,29.93,31.30,51.77,76.20,27.31,-24.19,1.76,2.53,18.07,17.84,17.64,16.65,15.26,63.53,7,STRONG_UP,NEUTRAL
ANTO,Antofagasta plc,LSE,4191.00,GBX,-2.51,9.01,9.04,12.21,53.18,27.04,127.09,130.97,916.74,6250.00,4.35,4.61,3876.25,3743.25,3665.95,3655.07,3087.06,63.24,7,STRONG_UP,NEUTRAL
BAS,BASF SE,XETR,53.43,EUR,-1.06,2.12,-2.50,3.95,21.68,20.12,18.29,-22.94,-22.40,888.53,2.35,2.39,53.02,53.19,51.04,48.89,46.39,53.46,7,STRONG_UP,NEUTRAL
ASM,ASM International N.V.,EURONEXT,889.00,EUR,1.67,1.02,17.87,29.52,76.04,68.88,77.80,284.02,2465.66,4015.74,3.49,3.56,860.50,795.57,750.56,702.56,594.69,64.07,7,STRONG_UP,NEUTRAL
MT,ArcelorMittal SA,EURONEXT,55.11,EUR,0.38,2.09,5.17,6.14,60.91,41.49,94.87,105.86,335.31,-17.42,3.41,4.05,51.94,50.84,48.97,47.72,39.98,61.75,7,STRONG_UP,NEUTRAL
PKN,ORLEN Spolka Akcyjna,GPW,145.00,PLN,0.22,2.84,10.35,31.82,41.44,49.82,98.36,94.01,112.95,553.15,2.21,2.76,141.34,133.73,131.24,117.48,103.20,66.69,7,STRONG_UP,NEUTRAL
HOT,HOCHTIEF Aktiengesellschaft,XETR,524.00,EUR,2.54,-4.20,13.42,43.72,85.42,56.05,224.66,622.76,361.88,3124.62,4.94,4.52,516.69,469.17,437.44,401.39,325.83,63.63,7,STRONG_UP,NEUTRAL
ACS,"ACS, Actividades de Construccion y Servicios SA",BME,136.20,EUR,2.87,-2.58,10.55,39.69,75.18,60.42,138.74,412.03,395.72,1603.94,3.20,3.16,132.73,123.65,116.30,105.93,88.58,64.32,7,STRONG_UP,NEUTRAL
SDZ,Sandoz Group Ltd,SIX,67.76,CHF,0.03,1.56,4.02,4.25,24.28,16.43,77.52,182.33,182.33,182.33,2.35,2.66,65.53,64.91,63.99,63.02,56.78,60.58,7,STRONG_UP,NEUTRAL
TEN,Tenaris S.A.,MIL,27.24,EUR,0.29,4.37,5.87,36.88,53.90,64.49,74.17,178.58,139.79,1456.57,2.49,2.63,26.45,25.96,25.11,22.09,19.06,61.04,7,STRONG_UP,NEUTRAL
EPI_A,Epiroc AB Class A,OMXSTO,272.60,SEK,0.78,1.68,8.48,2.17,39.62,30.00,22.46,40.83,214.55,214.55,2.30,3.39,267.75,253.17,247.25,243.15,222.76,61.40,7,STRONG_UP,NEUTRAL
PKO,PKO Bank Polski SA,GPW,99.69,PLN,2.95,1.93,-0.31,8.41,31.17,17.06,26.93,189.97,326.94,340.98,2.41,2.49,96.04,96.45,92.53,90.89,83.43,61.68,7,STRONG_UP,NEUTRAL
BT.A,BT Group plc,LSE,236.50,GBX,0.13,5.72,10.41,12.67,32.01,28.18,47.35,47.67,-45.92,-84.25,3.49,2.59,228.30,220.76,216.14,204.65,198.53,66.65,7,STRONG_UP,NEUTRAL
REP,Repsol SA,BME,22.43,EUR,-0.31,2.94,3.46,33.63,32.02,40.54,89.28,106.39,95.90,-2.48,1.74,3.24,22.40,22.00,22.28,19.48,17.24,54.36,7,STRONG_UP,NEUTRAL
HBAN,Helvetia Baloise Holding AG,SIX,212.20,CHF,0.38,0.86,-1.58,10.41,7.06,1.53,7.06,7.06,7.06,7.06,1.59,1.80,211.40,213.66,206.16,202.79,0.00,51.11,7,STRONG_UP,NEUTRAL
WRT1V,Wartsila Oyj Abp,OMXHEX,36.20,EUR,5.36,0.28,3.61,0.61,37.85,19.00,104.75,244.76,196.64,1656.33,3.75,3.63,35.65,35.53,34.50,33.92,29.93,52.94,7,STRONG_UP,NEUTRAL
BESI,BE Semiconductor Industries N.V.,EURONEXT,265.70,EUR,2.90,2.86,24.57,54.21,100.91,95.01,122.16,338.16,2151.69,5620.13,3.39,4.14,255.10,230.58,210.47,187.63,158.38,69.53,7,STRONG_UP,NEUTRAL
OMV,OMV AG,VIE,61.50,EUR,0.57,1.49,2.84,11.82,25.25,29.47,29.80,36.67,139.77,536.32,1.39,2.09,60.71,59.95,59.55,55.16,50.93,60.06,7,STRONG_UP,NEUTRAL
HLMA,Halma plc,LSE,4682.00,GBX,2.68,-0.11,12.63,24.06,39.68,31.66,56.90,88.33,412.81,8307.63,1.72,2.32,4555.90,4340.10,4136.06,3916.85,3666.09,66.48,7,STRONG_UP,NEUTRAL
EN,Bouygues SA,EURONEXT,51.50,EUR,1.18,-0.77,-1.34,3.81,23.44,16.25,39.19,48.67,77.80,393.30,1.76,2.14,50.88,51.36,50.65,48.84,44.15,52.52,7,STRONG_UP,NEUTRAL
NHY,Norsk Hydro ASA,OSL,106.80,NOK,2.59,-2.15,-2.91,15.71,44.40,36.19,85.10,90.37,240.02,408.34,2.13,2.78,105.28,105.34,99.40,91.57,79.84,56.62,7,STRONG_UP,NEUTRAL
NN,NN Group N.V.,EURONEXT,76.18,EUR,0.79,1.14,4.99,8.18,22.48,15.78,39.07,74.68,158.85,262.76,1.30,1.39,75.09,73.07,70.39,68.74,64.50,66.60,7,STRONG_UP,NEUTRAL
TELIA,Telia Company AB,OMXSTO,49.36,SEK,0.80,0.76,1.88,12.39,31.28,24.93,40.39,37.65,32.19,53.29,1.48,2.20,48.57,47.91,47.43,44.38,40.29,61.14,7,STRONG_UP,NEUTRAL
UNI,UNIPOL ASSICURAZIONI SPA,MIL,22.45,EUR,0.76,0.45,2.79,17.05,15.28,9.14,34.75,354.64,563.81,-61.53,1.53,1.79,22.16,21.89,20.94,20.43,19.44,59.53,7,STRONG_UP,NEUTRAL
RBI,Raiffeisen Bank International AG,VIE,47.38,EUR,0.30,3.59,8.92,12.01,42.71,23.64,79.88,141.86,306.00,26.86,2.71,3.20,46.01,43.97,41.47,40.75,35.70,63.14,7,STRONG_UP,NEUTRAL
AAF,Airtel Africa Plc,LSE,379.80,GBX,5.62,4.11,-0.31,16.08,23.39,6.75,123.67,371.80,393.25,393.25,12.12,5.18,373.50,365.39,361.07,354.20,303.63,53.74,7,STRONG_UP,NEUTRAL
EDPR,EDP Renovaveis SA,EURONEXT,14.17,EUR,-0.07,-2.81,0.14,7.51,22.05,18.08,51.15,-23.36,112.25,77.13,2.72,3.08,14.16,13.98,13.63,13.23,12.29,53.30,7,STRONG_UP,NEUTRAL
PEO,Bank Polska Kasa Opieki S.A.,GPW,239.40,PLN,2.57,0.80,-4.24,4.54,23.88,16.72,31.36,181.32,59.76,156.87,2.93,2.82,232.48,236.95,227.33,222.55,207.52,56.25,7,STRONG_UP,NEUTRAL
AGS,ageas SA/NV,EURONEXT,68.65,EUR,1.55,1.93,1.63,10.73,17.45,14.42,23.69,29.92,111.69,-76.20,1.28,1.46,67.10,66.95,64.34,62.58,60.70,63.36,7,STRONG_UP,NEUTRAL
ANA,Acciona SA,BME,260.80,EUR,1.01,0.77,9.21,40.52,33.74,40.14,100.31,96.53,277.26,369.06,3.14,3.11,255.44,243.13,231.99,211.54,194.54,63.35,7,STRONG_UP,NEUTRAL
EBP,Erste Bank Polska S.A.,GPW,608.40,PLN,5.08,-4.37,-7.11,1.20,21.49,11.63,15.40,169.08,132.66,770.39,4.37,3.46,608.40,626.55,600.10,584.12,544.99,48.50,6,STRONG_UP,NEUTRAL
SOBI,Swedish Orphan Biovitrum AB,OMXSTO,438.60,SEK,-0.14,1.06,8.73,6.82,29.38,30.93,43.99,223.60,325.57,1236.29,2.32,2.47,435.58,415.01,399.86,379.30,340.89,63.94,7,STRONG_UP,NEUTRAL
