ticker-view,name,description,exchange,close,currency,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,SMA10,SMA30,SMA50,SMA100,SMA200,RSI,trend_score,trend_label,rsi_state
[object Object],TTE,TotalEnergies SE,EURONEXT,76.47,EUR,-1.12,1.10,1.28,11.68,37.41,37.41,46.75,91.37,84.73,3034.02,1.61,1.82,76.52,77.71,77.64,71.90,62.98,46.19,3,SIDEWAYS,NEUTRAL
[object Object],ABBN,ABB Ltd.,SIX,80.52,CHF,-2.61,-4.62,-0.47,19.29,36.24,35.10,69.95,157.17,291.25,210.38,2.44,2.36,83.68,81.70,76.97,71.70,64.51,47.17,3,SIDEWAYS,NEUTRAL
[object Object],ABI,Anheuser-Busch InBev SA/NV,EURONEXT,69.88,EUR,2.95,1.19,3.53,11.56,33.05,28.74,12.35,7.59,-38.70,265.29,1.80,1.81,69.31,68.77,66.27,64.66,58.87,55.64,3,SIDEWAYS,NEUTRAL
[object Object],IFX,Infineon Technologies AG,XETR,75.66,EUR,-3.30,-8.31,26.37,84.90,106.07,100.61,111.84,129.52,465.68,20.92,6.37,5.63,81.06,69.53,59.55,50.79,42.87,56.01,3,SIDEWAYS,NEUTRAL
[object Object],DHL,Deutsche Post AG,XETR,51.74,EUR,-0.04,-0.77,10.34,11.94,12.75,11.15,27.25,-8.92,95.43,139.98,1.56,1.97,51.79,49.14,48.55,47.99,44.98,61.70,3,SIDEWAYS,NEUTRAL
[object Object],MT,ArcelorMittal SA,EURONEXT,56.40,EUR,-3.98,-6.59,7.10,15.27,47.26,44.80,111.87,113.15,296.04,-15.49,3.94,3.82,59.59,55.04,52.90,50.89,42.60,50.14,3,SIDEWAYS,NEUTRAL
[object Object],P911,Porsche AG,XETR,48.29,EUR,0.73,2.42,14.98,26.41,4.98,5.07,17.61,-42.51,-42.51,-42.51,2.47,2.72,47.53,45.17,43.48,41.71,43.18,62.81,3,SIDEWAYS,NEUTRAL
[object Object],SDZ,Sandoz Group Ltd,SIX,64.60,CHF,-0.43,0.22,-2.45,2.67,8.97,11.00,49.54,169.17,169.17,169.17,1.77,2.24,64.29,64.77,64.58,64.07,58.25,49.69,3,SIDEWAYS,NEUTRAL
[object Object],OMV,OMV AG,VIE,58.30,EUR,-1.19,-6.04,-3.24,2.37,22.02,22.74,33.96,17.00,133.11,503.21,2.08,2.00,61.75,61.63,60.90,57.79,52.37,36.57,3,SIDEWAYS,NEUTRAL
[object Object],NN,NN Group N.V.,EURONEXT,71.46,EUR,0.25,-0.28,-4.85,7.69,13.25,8.60,25.11,75.10,144.77,240.29,1.15,1.57,71.81,73.95,72.89,70.10,65.66,38.75,3,SIDEWAYS,NEUTRAL
