ticker-view,name,description,exchange,close,type,typespecs,pricescale,minmov,fractional,minmove2,currency,change,volume,relative_volume_10d_calc,market_cap_basic,fundamental_currency_code,price_earnings_ttm,earnings_per_share_diluted_ttm,earnings_per_share_diluted_yoy_growth_ttm,dividends_yield_current,sector.tr,market,sector,AnalystRating,AnalystRating.tr,change,Perf.W,Perf.1M,Perf.3M,Perf.6M,Perf.YTD,Perf.Y,Perf.5Y,Perf.10Y,Perf.All,Volatility.W,Volatility.M,TechRating_1D,TechRating_1D.tr,MARating_1D,MARating_1D.tr,OsRating_1D,OsRating_1D.tr,RSI,Mom,AO,CCI20,Stoch.K,Stoch.D,candlestick_patterns_1D,premarket_close,premarket_change,premarket_gap,premarket_volume,gap,volume,volume_change,postmarket_close,postmarket_change,postmarket_volume,Perf.1Y.MarketCap,price_earnings_ttm,price_earnings_growth_ttm,price_sales_current,price_book_fq,price_to_cash_f_operating_activities_ttm,price_free_cash_flow_ttm,price_to_cash_ratio,enterprise_value_current,enterprise_value_to_revenue_ttm,enterprise_value_to_ebit_ttm,enterprise_value_ebitda_ttm,SMA10,SMA30,SMA50,SMA100,SMA200
[object Object],ASML,ASML Holding NV,EURONEXT,1622.20,stock,common,10.00,2.00,false,0.00,EUR,-0.45,763162.00,0.98,719950722428.74,USD,62.72,29.88,16.87,0.46,Electronic technology,netherlands,Electronic Technology,Buy,Buy,-0.45,15.82,21.22,36.34,75.66,76.44,144.05,179.69,1811.62,6240.58,4.49,3.90,Buy,Buy,StrongBuy,Strong buy,Sell,Sell,73.33,228.20,202.18,165.45,93.50,86.26,0.00,0.00,0.00,0.00,0.00,2.36,763162.00,-24.81,1622.20,0.00,259584.00,105.59,62.72,3.73,18.65,30.02,59.41,69.75,74.70,713392104222.74,18.33,52.68,48.37,1526.52,1398.59,1327.65,1260.19,1073.75
[object Object],ROP,Roche Holding Ltd,SIX,326.10,stock,common,10.00,1.00,false,0.00,CHF,-1.18,1460078.00,1.23,329803950929.90,USD,20.33,20.23,55.42,2.97,Health technology,switzerland,Health Technology,Buy,Buy,-1.18,0.34,1.81,1.27,2.32,-0.58,21.18,-4.82,34.81,153.77,1.80,2.00,Buy,Buy,StrongBuy,Strong buy,Buy,Buy,52.50,8.70,1.90,36.50,71.65,62.88,dark_cloud_cover_bearish,0.00,0.00,0.00,0.00,0.30,1460078.00,29.77,326.10,0.00,454521.00,26.06,20.33,0.37,4.31,7.68,14.69,18.60,16.92,357134552229.90,4.60,14.92,12.66,321.98,323.14,320.93,332.49,312.17
[object Object],HSBA,HSBC Holdings Plc,LSE,1384.60,stock,common,10.00,2.00,false,0.00,GBX,0.86,14459805.00,0.68,316242133946.04,USD,15.35,1.19,6.33,4.09,Finance,uk,Finance,Buy,Buy,0.86,2.11,4.06,15.40,22.14,16.78,60.25,219.44,222.94,477.77,2.60,2.61,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,55.68,2.00,-7.76,69.90,61.85,40.85,0.00,0.00,0.00,0.00,0.00,1.40,14459805.00,-11.51,1384.60,0.00,7607814.00,56.19,15.35,2.40,4.42,1.79,0.00,0.00,0.00,533226788532.95,4.05,0.00,0.00,1358.48,1352.50,1343.37,1302.26,1187.69
[object Object],MC,LVMH Moet Hennessy Louis Vuitton SE,EURONEXT,512.60,stock,common,10.00,1.00,false,0.00,EUR,0.39,872269.00,1.44,292448427968.94,USD,23.45,25.68,-12.96,2.55,Consumer non-durables,france,Consumer Non-Durables,Buy,Buy,0.39,8.34,12.78,6.56,-19.36,-20.09,11.43,-24.63,269.44,2886.85,3.96,3.21,Buy,Buy,StrongBuy,Strong buy,Buy,Buy,67.12,42.80,30.45,256.63,72.65,74.43,0.00,0.00,0.00,0.00,0.00,4.78,872269.00,-6.23,512.60,0.00,333549.00,-3.48,23.45,0.00,3.14,3.77,13.47,16.91,18.85,320497806128.94,3.38,15.43,11.23,486.78,473.69,474.16,495.03,542.56
[object Object],AZN,AstraZeneca PLC,LSE,13200.00,stock,common,1.00,2.00,false,0.00,GBX,-1.95,1794190.00,1.07,279886547930.09,USD,26.59,6.56,26.77,1.75,Health technology,uk,Health Technology,Buy,Buy,-1.95,-4.43,-4.35,-8.68,-2.76,-3.80,20.83,58.54,244.74,339.41,4.40,3.43,StrongSell,Strong sell,StrongSell,Strong sell,Neutral,Neutral,38.52,-234.00,-190.48,-84.94,60.74,62.13,0.00,0.00,0.00,0.00,0.00,0.00,1794190.00,-12.34,13200.00,0.00,932055.00,33.21,26.59,1.01,4.66,5.70,19.05,23.90,35.40,306617219349.26,5.14,22.15,15.66,13496.80,13627.47,14050.04,14241.92,13574.17
[object Object],NOVN,Novartis AG,SIX,120.22,stock,common,100.00,2.00,false,0.00,CHF,-1.52,2728555.00,1.04,279501127999.32,USD,21.41,7.02,-0.99,3.03,Health technology,switzerland,Health Technology,Neutral,Neutral,-1.52,1.88,2.42,-0.96,11.85,9.47,24.58,42.95,84.40,101.48,2.19,1.95,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,56.99,6.32,3.38,113.06,87.85,88.39,engulfing_bearish,0.00,0.00,0.00,0.00,0.05,2728555.00,11.67,120.22,0.00,1431327.00,21.28,21.41,0.00,5.35,7.41,14.86,16.25,41.09,320249781375.30,5.86,19.72,14.95,117.89,116.97,117.57,119.49,111.94
[object Object],NESN,Nestle S.A.,SIX,79.11,stock,common,100.00,1.00,false,0.00,CHF,-0.88,3555063.00,1.07,257453260061.79,USD,22.56,4.42,-16.45,3.88,Consumer non-durables,switzerland,Consumer Non-Durables,Buy,Buy,-0.88,2.24,2.32,-2.03,1.25,1.14,-6.35,-30.61,12.53,110.96,1.98,1.75,StrongBuy,Strong buy,StrongBuy,Strong buy,Buy,Buy,53.06,1.24,0.45,56.46,66.87,64.96,engulfing_bearish,0.00,0.00,0.00,0.00,0.24,3555063.00,3.30,79.11,0.00,2104749.00,-9.00,22.56,0.00,2.30,6.20,12.83,17.94,32.76,322503427061.79,2.86,17.92,14.28,78.11,78.33,78.46,78.31,77.62
[object Object],OR,L'Oreal S.A.,EURONEXT,385.85,stock,common,100.00,5.00,false,0.00,EUR,-1.13,408077.00,1.03,240314351673.79,USD,33.71,13.44,-4.27,1.84,Consumer non-durables,france,Consumer Non-Durables,Buy,Buy,-1.13,2.67,9.12,10.15,3.25,5.44,4.04,-0.41,137.30,11360.94,2.21,2.23,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,60.76,6.45,16.14,99.16,69.84,71.06,engulfing_bearish,0.00,0.00,0.00,0.00,0.95,408077.00,-13.65,385.85,0.00,247408.00,-1.05,33.71,0.00,4.74,5.89,23.86,28.84,20.94,242745020201.79,4.69,23.19,19.56,380.21,370.60,366.59,370.95,372.19
[object Object],SHELL,Shell Plc,EURONEXT,35.68,stock,common,1000.00,5.00,false,0.00,EUR,-4.37,7695525.00,1.98,239656085030.12,USD,13.02,3.17,35.27,3.43,Energy minerals,netherlands,Energy Minerals,Buy,Buy,-4.37,-5.47,-2.06,-9.67,17.64,13.40,12.36,114.52,57.53,617.91,2.35,1.88,Sell,Sell,StrongSell,Strong sell,Sell,Sell,39.29,-1.27,-0.08,-171.29,56.46,69.49,falling_window_bearish,0.00,0.00,0.00,0.00,-2.47,7695525.00,12.15,35.68,0.00,2233614.00,19.06,13.02,0.33,0.92,1.33,6.40,13.08,10.15,293392300175.55,1.11,9.35,5.45,37.25,36.96,37.61,36.55,34.00
[object Object],SIE,Siemens Aktiengesellschaft,XETR,270.35,stock,common,100.00,5.00,false,0.00,EUR,2.21,1066600.00,1.09,233188353082.13,USD,27.61,11.31,-20.66,2.02,Producer manufacturing,germany,Producer Manufacturing,Buy,Buy,2.21,2.79,0.80,23.42,13.33,13.14,27.07,97.62,199.36,1750.07,2.51,2.49,Buy,Buy,StrongBuy,Strong buy,Neutral,Neutral,55.85,-2.30,-0.59,32.19,33.96,21.50,rising_window_bullish,272.50,3.02,2.97,802.00,2.34,1066600.00,-22.22,270.25,-0.04,531644.00,19.77,27.61,0.00,2.61,3.20,18.55,23.50,24.52,293383715762.13,3.19,26.91,19.66,267.86,267.45,255.78,245.49,241.48
